,C#,CNAME,PERIOD,CREDIT,TEACHER
70,MM-93,习近平新时代中国特色社会主义思想概论,48,3,刘静
71,IF-03,医学信息检索与利用,16,1,翟中会
72,IF-32,数字通信与无线系统,40,2.5,张国梅
73,AC-20,人居环境与社会调查,40,2,张硕英
74,SA-01,生物统计学,96,4.5,李强
75,BM-43,生物医学光子学,32,2,辛静
76,BM-02,康复工程,32,2,刘天
77,MG-81,管理学,48,3,王磊
78,IT-44,国际贸易实务,36,2,魏佳
79,EG-65,学术英语听说,32,2,王芙蓉
80,SA-06,统计学,32,2,吴静娴
81,BO-01,生物化学,128,7,李海韵
82,JP-20,日语会话-4,32,2,YAZAKI MASAKAZU
83,ER-22,普通地质学,32,2,蔡演军
84,NE-01,生物学基础与生物质能转化原理及技术,60,3.5,吕友军
85,LW-05,立法学,32,2,张艾思
86,BO-05,分子生物学,44,2,蒋晓刚
87,BS-31,口腔局部解剖学,72,4,杨维娜
88,MG-23,农村发展,32,2,黎洁
89,SO-01,口腔医学导论,16,1,董茜茜
90,AC-24,建筑设计基础-2,96,4,雷耀丽
91,BO-17,生物信息学,64,3,杨铁林
92,JS-28,妇产科生产实习Ⅰ,240,6,周戬平
93,RS-02,俄译汉,32,2,叶琳
94,AC-03,风景园林史,32,2,张冬冬
95,EN-26,经济社会学,48,3,赵文龙
96,ML-05,国防教育,32,2,张赟
97,FA-54,初级法语-2,96,6,郭琳
98,EP-08,热力发电厂,58,3,吴东垠
99,CS-13,自然计算,32,2,郭宇
100,BS-52,整合实验-Ⅱ,112,3.5,周党侠
101,ER-05,环境工程学,96,5,石烜
102,MC-20,基础力学实验-2,16,0.5,武彤晖
103,EL-02,半导体物理与器件专题实验2,24,0.5,雷冰洁
104,EE-33,新能源与分布式发电,40,2,吴锴
105,EE-40,电力系统综合实验,64,2,宁联辉
106,EE-82,模电与大数电实验-2,24,0.5,孙敏
107,IS-14,光电检测技术,32,2,丁晖
108,LW-37,民法学与民事诉讼法学,48,3,聂卫锋
109,PY-49,材料物理专门实验2,32,1,郭永利
110,CN-01,化工原理,72,4.5,杨小平
111,EL-04,射频电路设计专题实验,32,1,师振盛
112,EP-03,大学计算机 -工程算法编程,56,3,何志龙
113,PY-01,医学心理学,32,2,钱玉燕
