,KCH,KCM,SKJS,XF,XS
35,COMP560405,物联网应用概论,"丁菡,赵衰",2.0,32.0
36,NUCL421103,核反应堆热工分析,"张大林,章静,张亚培,郭凯伦,邬良芃",2.5,48.0
37,MAGT501318,社会福利与优抚,毛瑛,2.0,32.0
38,ARTS523110,多媒体广告设计,"牛琛富茜,石淑捷",4.0,64.0
39,PHYS282509,理论力学,李蓬勃,3.0,48.0
40,EELC323004,电子技术实验-1,"张锋,孙敏,张皎,刘涛,高昕悦",0.5,16.0
41,NUCL421103,核反应堆热工分析,"秋穗正,王明军,王成龙,邬良芃,郭凯伦",2.5,48.0
42,MLMD191014,形势与政策,李家胜,2.0,32.0
43,MLMD196614,马克思主义基本原理,马小虎,3.0,48.0
44,MAGT482508,机器学习-1,王开东,2.0,32.0
45,ENGL442712,美国文学史及选读-2,"杜丽霞,邹敏",2.0,32.0
46,MLMD196614,马克思主义基本原理,杨梦瑶,3.0,48.0
47,MLMD196614,马克思主义基本原理,唐敏,3.0,48.0
48,POLI103514,形策2025春（专题七：当前我国社会思潮新趋势及其影响）张楠,张楠,0.0,2.0
49,MLMD191014,形势与政策,李家胜,2.0,32.0
50,ECMT583119,金融电子商务,张桂清,2.0,40.0
51,COMP201127,大学计算机 - 算法编程,刘虎军,3.0,52.0
52,PHYS523809,数字图像处理与分析,张俊武,3.0,48.0
53,PHYS260409,大学物理IV,强蕴蕴,4.0,64.0
54,BASM300248,病理生理学,"刘瑞,邓秀玲,孙宏志,刘进军,王燕,王新凤,冯洁,张伊,庞正达",5.0,90.0
55,LAWS302624,国际法（英）,"单文华,谷婀娜",2.0,32.0
56,MATL400702,Characterization techniques in materials science research,陈凯,2.0,32.0
57,LITE200110,应用写作,李楚,2.0,32.0
58,AUTO540605,工业系统综合自动化基础,高峰,2.0,32.0
59,PHYS210509,原子物理学,黄永义,3.0,48.0
60,MATH400121,文科高等数学,贾应智,4.0,64.0
61,STOM405548,口腔医学教育创新,"裴丹丹,王方,亓坤,侯琳娜,张雨萌,张智勇",1.0,16.0
62,FORM400543,法医物证学,"赖江华,张宝,孙钦儒,张洪波,朱永生",5.5,120.0
63,COMP500127,3D计算机图形学,"刘跃虎,张驰",2.0,38.0
64,INFT530105,信息论基础The Elements of Information Theory,王慧明,2.5,40.0
65,CLIM500148,临床病理学,"杨军,马莉,伍洁,白小梅,郭睿,张娜,余巧玲",1.5,24.0
66,ENGL200312,阅读与写作（少年班）2,牛莉,2.0,32.0
67,ELEC326104,电工电子技术导论,孙晋茹,3.0,48.0
68,EARS200122,人居环境科学概论,"张硕英,曹象明,张定青,王新轲,WANG YUPENG,顾兆林,程燕",1.0,16.0
69,ELEC328604,信号与系统II,"王发强,沈瑶",3.5,60.0
70,BASM313740,生理学,"康玉明,徐佳曦,梁玲利,王玉英",2.0,40.0
71,CHEM341909,物理化学实验-1,岳岭,1.0,32.0
72,INDE402201,社会创新设计,张煜,2.0,40.0
73,MLMD100214,中国近现代史纲要,宋希斌,2.0,32.0
74,CHEM223009,现代仪器分析,胡敏,2.0,32.0
75,MPRA200452,金工实习Ⅰ,"栗茂林,郁志浩,周耀成,吴毅,张铭,李党超,加有维,崔琦,邵敏,沈瑶,曲滨,邓天鑫,张珂,赵宁,祁小朋,徐峰,孙毓忠,宋爱梅",2.0,64.0
76,CENG520516,化学工程与工艺实验,郝妙莉,1.0,32.0
77,JZSJ900210,创新实践,李晓光,3.0,96.0
78,AASP414006,航空推进原理,杨亚晶,3.0,56.0
79,MLMD196614,马克思主义基本原理,王亮,3.0,48.0
80,LAWS403224,商法学,楼晓,3.0,48.0
81,EELC322704,模拟电子技术基础,王振兴,3.0,48.0
82,MATL402602,材料研究方法,胡磊,2.0,32.0
83,INDE900401,工业设计实践Ⅱ-1,李萌,1.0,32.0
84,POLI102414,形策2025春（专题十四：新一轮科技革命的趋势与影响）刘珈彤,刘珈彤,0.0,2.0
85,AUTO402127,人工智能工具、平台与系统,张旭翀,2.0,40.0
86,CHEM250309,医用有机化学实验,李宝平,1.5,48.0
87,POLI102614,形策2025春（专题六：当前我国社会思潮新趋势及其影响）高飞,高飞,0.0,2.0
88,MLMD199314,习近平新时代中国特色社会主义思想概论,刘静,3.0,48.0
89,INFT320340,医学信息检索与利用,翟中会,1.0,16.0
90,MATL400702,Characterization techniques in materials science research,方华靖,2.0,32.0
91,INFT533205,数字通信与无线系统,"张国梅,杜清河,高贞贞",2.5,40.0
92,ARCH502031,人居环境与社会调查,张硕英,2.0,40.0
93,STAT400141,生物统计学,"李强,李超,杨姣梅,陈方尧",4.5,96.0
94,MLMD199314,习近平新时代中国特色社会主义思想概论,赵金瑞,3.0,48.0
95,BIME514313,生物医学光子学,"辛静,姚翠萍",2.0,32.0
96,POLI103414,形策2025春（专题八：加快建设教育强国）梁珊,梁珊,0.0,2.0
97,BIME510213,康复工程,"刘天,李津",2.0,32.0
98,MAGT478108,管理学,王磊,3.0,48.0
99,MLMD191014,形势与政策,李家胜,2.0,32.0
100,INTE454419,国际贸易实务,魏佳,2.0,36.0
101,ENGL206512,学术英语听说,王芙蓉,2.0,32.0
102,MLMD199314,习近平新时代中国特色社会主义思想概论,雷巧玲,3.0,48.0
103,STAT370619,统计学,吴静娴,2.0,32.0
104,BIOL300148,生物化学,"李海韵,郑芳,朱文华,吴昊,孟列素,李冬民,肖正涛,蓝茜,赵柏林,杨旭东,蒋晓刚,马捷",7.0,128.0
105,JAPN542012,日语会话-4,YAZAKI MASAKAZU,2.0,32.0
106,EARS502222,普通地质学,"蔡演军,赵景耀,沙丽娟,张海伟",2.0,32.0
107,NEEN400103,生物学基础与生物质能转化原理及技术,"吕友军,金辉,徐强,赵昆鹏",3.5,60.0
108,LAWS500524,立法学,张艾思,2.0,32.0
109,BIOL300548,分子生物学,"蒋晓刚,蒋小英",2.0,44.0
110,BASM303148,口腔局部解剖学,"杨维娜,肖新莉",4.0,72.0
111,MAGT302318,农村发展,"黎洁,李飞",2.0,32.0
112,ENGL200612,交流与表达（少年班）2,龚颖,2.0,32.0
113,STOM060146,口腔医学导论,"董茜茜,董炜疆,虎小毅,侯玉霞,牛林,陈悦,高江红,刘中博",1.0,16.0
114,ARCH412422,建筑设计基础-2,雷耀丽,4.0,96.0
115,JZSJ900912,日语听说实践,YAZAKI MASAKAZU,1.0,32.0
116,BIOL421713,生物信息学,"杨铁林,陈晓峰",3.0,64.0
117,JZSJ902848,妇产科生产实习Ⅰ,周戬平,6.0,240.0
118,RUSS430212,俄译汉,叶琳,2.0,32.0
119,ARCH500331,风景园林史,"张冬冬,NerantziaTzortzi",2.0,32.0
120,ECND402610,经济社会学,"赵文龙,郝明松",3.0,48.0
121,MILI100554,国防教育,"张赟,闫忠林,问鸿滨",2.0,32.0
122,ENGL200312,阅读与写作（少年班）2,成旻,2.0,32.0
123,FRAN445412,初级法语-2,郭琳,6.0,96.0
124,INSM300132,工程光学-2,王昭,2.0,32.0
125,ENPO420803,热力发电厂,"吴东垠,韩小渠,王桂芳,徐彤彤",3.0,58.0
126,COMP401327,自然计算,郭宇,2.0,32.0
127,CENG320516,化工安全,"胡准,林波,陈磊",1.5,32.0
128,MECH311806,材料力学,王茗仕,3.5,56.0
129,MLMD100214,中国近现代史纲要,郝一博,2.0,32.0
130,POLI103014,形策2025春（专题十二：新一轮科技革命的趋势与影响）岳潇,岳潇,0.0,2.0
131,CHEM250309,医用有机化学实验,刘宏浪,1.5,48.0
132,MLMD191014,形势与政策,李家胜,2.0,32.0
133,POLI102114,形策2025春（专题十一： 两会精神：以人口高质量发展支撑中国式现代化 )武星星,武星星,0.0,2.0
134,POLI102614,形策2025春（专题六：当前我国社会思潮新趋势及其影响）高飞,高飞,0.0,2.0
135,BASM305248,整合实验-Ⅱ,"周党侠,任淑婷,蒋小英,杨旭东,俞小瑞,孟凯,莫立平,孟列素,史小莲,雷莉,李冬民,王新凤,胡浩,张莉,孙颖,崔刚,赵长安,贺建宇,陈丽,王涛,陈妍珂,侯妮,赵凌宇,郑芳,武一,孙瑞芳,李海韵,徐晶,赵铭,张海峰",3.5,112.0
136,EARS400522,环境工程学,"石烜,梁继东,金鑫,王文东,徐芙清,刘宗宽,姜泽宇,田明姣",5.0,96.0
137,MECH312006,基础力学实验-2,武彤晖,0.5,16.0
138,MILI100554,国防教育,"张昊,初阔林,李科",2.0,32.0
139,EELC200227,半导体物理与器件专题实验2,雷冰洁,0.5,24.0
140,ELEC523304,新能源与分布式发电,"吴锴,周峻,肖云鹏,何英杰",2.0,40.0
141,ELEC524004,电力系统综合实验,宁联辉,2.0,64.0
142,MLMD100214,中国近现代史纲要,李园园,2.0,32.0
143,MLMD100214,中国近现代史纲要,王书吟,2.0,32.0
144,ELEC328204,模电与大数电实验-2,孙敏,0.5,24.0
145,INSM401404,光电检测技术,"丁晖,韩春阳",2.0,32.0
146,LAWS403724,民法学与民事诉讼法学,聂卫锋,3.0,48.0
147,PHYS404909,材料物理专门实验2,郭永利,1.0,32.0
148,CENG400148,化工原理,"杨小平,周文静,卢闻,贺怀贞,侯晓芳,王程",4.5,72.0
149,MLMD100214,中国近现代史纲要,何瑞,2.0,32.0
150,EELC530405,射频电路设计专题实验,师振盛,1.0,32.0
151,POLI102314,形策2025春（专题十六：当前我国社会思潮新趋势及其影响）陈永华,陈永华,0.0,2.0
152,BIOL310513,遗传学实验,朱东丽,1.0,32.0
153,ENPO200303,大学计算机 -工程算法编程,"何志龙,赵红利",3.0,56.0
154,PSYL300144,医学心理学,"钱玉燕,王瑜萍",2.0,32.0
155,JAPN442712,基础日语-4,"孙莉,KANETO SACHIKO",6.0,96.0
156,CHEM341909,物理化学实验-1,王栋东,1.0,32.0
157,FINA442519,金融科技前沿讲座,李淑彪,2.0,32.0
158,AUTO400305,运筹学I,吴江,3.0,48.0
159,JZSJ900522,创新创业实践III,崔鑫,2.0,80.0
160,BASM311640,免疫学,"史霖,雷艳君,季延红,马运峰",2.0,40.0
161,INTE551919,世界经济地理,杨少华,2.0,32.0
162,INDE400631,概念建模工具,FaustoBrevi,3.0,64.0
163,ARTS418810,专业设计-2,刘令贵,4.0,64.0
164,INTE453519,国际商务,陈绍俭,2.5,40.0
165,JAPN900612,演讲与辩论实训,KANETO SACHIKO,1.0,32.0
166,POLI103214,形策2025春（专题三：当前我国社会思潮新趋势及其影响）伊景冰,伊景冰,0.0,2.0
167,ENPO341203,工程热力学Ⅰ,"刘迎文,张颖,陈慧",3.5,64.0
168,INFT400805,电磁场理论II,"曹猛,林舒",3.0,48.0
169,AUTO545005,智能控制,胡怀中,2.0,32.0
170,ELEC428004,能源互联网,"谢海鹏,陈晨",2.0,32.0
171,MATH200327,概率统计与随机过程,"刘美琴,言浬",4.0,64.0
172,MLMD199314,习近平新时代中国特色社会主义思想概论,何元茂,3.0,48.0
173,JZSJ901948,外科生产实习Ⅰ,种铁,18.0,720.0
174,FRAN542112,法语国家及地区文化,BAROT OLIVIER CYRIL,1.0,16.0
175,FINA442219,建行企业文化与普惠金融,李淑彪,2.0,32.0
176,ITDE514305,压电器件设计制作,高翔宇,1.0,32.0
177,JZSJ400448,临床技能训练,"柏宏亮,卢群",1.0,0.0
178,PHYS210209,热学,高博,3.0,48.0
179,ENGL201912,美国文化,司选海,2.0,32.0
180,MAGT401118,社会保险理论与实务,章芬,2.0,32.0
181,STOM402048,牙周病学Ⅰ,"刘瑾,周欢,赵晓丹,张佳喻,苗棣",1.5,24.0
182,PUBH400541,数据管理与分析,"吴谦,沈明望,张天啸,肖生彬",1.5,32.0
183,LAWS510724,法律翻译与法律英语写作,张紫薇,2.0,32.0
184,MECH312006,基础力学实验-2,刘冉,0.5,16.0
185,MLMD196614,马克思主义基本原理,吴鹏,3.0,48.0
186,MACH402901,机械工程测试技术,"徐光华,李敏",2.5,48.0
187,NUCL421003,核电厂系统与动力设备,"张亚培,陈荣华,张博",2.5,40.0
188,LAWS400108,LW 公司法与商法（ACCA）,FONSEKA MEIMANAGE MOHANPRADEEP,3.0,48.0
189,STOM402648,牙髓病学Ⅱ,"董茜茜,薛云鹏,方高峰,刘文静,王小勤,牛玉梅,关晓月,傅姗琦,冯睿",3.5,80.0
190,PHYS405909,凝聚态物理专业实验,"杨宏,冯雪红,耶红刚",1.0,32.0
191,MLMD199314,习近平新时代中国特色社会主义思想概论,赵军义,3.0,48.0
192,LITE200521,汉语听说2,李馨郁,4.0,64.0
193,TREC460519,现代物流管理,LI ZHENG,2.0,32.0
194,ARCH401331,建筑物理,"GiulianoDall'O',王赞社",4.0,64.0
195,ENGL445612,英语写作-2,彭凤玲,2.0,32.0
196,MLMD502414,现代西方经济学流派,樊晓燕,3.0,48.0
197,CLIM403748,内科学Ⅰ,"王毅,牛丹,吕晶,吴晓燕,郝志明,郭辉,解立怡,陈天君,孙吉平,任徽,李丹,杨世峰,党晓敏,朱柏,吕晓虹,李宏",3.5,72.0
198,ENGL532912,托福强化,林玉萍,2.0,32.0
199,CLIM406648,运动系统与疾病,"李浩鹏,马巍,晋瑞,李萌,杜恒,高宗强,张纯,刘瑞宇,张晨,杨佩,尹战海,张银刚,王伟,边卫国,乔鸿飞,张廷",2.5,48.0
200,AUTO400305,运筹学I,叶洪兴,3.0,48.0
201,TREC362719,产业经济学,樊仲琛,2.5,48.0
202,MLMD196614,马克思主义基本原理,李重,3.0,48.0
203,MACH390901,工程制图,许睦旬,2.0,32.0
204,POLI102114,形策2025春（专题十一： 两会精神：以人口高质量发展支撑中国式现代化 )武星星,武星星,0.0,2.0
205,ARCH411722,建筑设计基础-2,"刘令贵,赵兴杨",4.0,96.0
206,MATH443507,多元数据分析与统计软件,张春霞,3.0,58.0
207,JZSJ900812,日语口译实践,"孙莉,沈丽芳",0.5,16.0
208,STOM403348,口腔正畸学,"王菲,邹蕊,侯玉霞,王爽,郭昱成,程姝丽,赵华翔,乔虎,邹薇,杨宇轩,王丽颖,普盼君,吉玲玲,鲍庆红",4.5,104.0
209,CIVL543922,混凝土结构设计,宋丽,2.0,40.0
210,JZSJ400230,热质储能系统设计-2,席奂,3.5,104.0
211,ENGL446412,英语写作-4,范晓晖,2.0,32.0
212,PHYS401209,量子光学与量子信息导论,"张沛,杨玉,张仁,王信,王鹤峰",2.0,32.0
213,CLIM402948,内科学Ⅰ,"浮姣,李慧贤,贺雅毅,高楚淇,刘淑,兰平,解新芳,吕佳",3.0,56.0
214,JZSJ901948,外科生产实习Ⅰ,种铁,18.0,720.0
215,MLMD100214,中国近现代史纲要,马金玲,2.0,32.0
216,INFT430105,数字信号处理,周艳辉,2.5,44.0
217,JAPN440912,日语会话,"任宏昊,沈丽芳",2.0,32.0
218,PHED900750,陆上赛艇,路海华,0.0,16.0
219,ENPO421103,锅炉原理,"王长安,车得福,张润霞",3.0,56.0
220,LITE502121,商务新闻阅读,孙玉茜,2.0,32.0
221,ENPO421103,锅炉原理,"车得福,邓磊,张润霞",3.0,56.0
222,FINA543419,经济金融中的数理模型,"张成毅,董志龙,马贵元",2.0,32.0
223,POLI103614,形策2025春（专题十五：建设教育强国）苏玉波,苏玉波,0.0,2.0
224,PHMA402848,药物合成反应,"黄渊,辛敏行,朱云博,张杰",4.0,64.0
225,NURS400648,外科护理学 Ⅱ,"高睿,李津,罗艳,吴娜",3.5,72.0
226,JZSJ901148,社区护理实习,郭晓元,1.0,80.0
227,MLMD402914,思想政治教育原理与方法研究,"杨华,马忠,燕连福,朱旭,高飞,冯亮,雒自新,武星星",3.0,48.0
228,MLMD191014,形势与政策,李家胜,2.0,32.0
229,ELEC321304,电磁场与波,"杨黎晖,王超,沈瑶,高昕悦",4.0,72.0
230,XJLU400351,Maths for Economics and Business,"胡琳,Jae-Yoon Kim",5.0,150.0
231,POLI103414,形策2025春（专题八：加快建设教育强国）梁珊,梁珊,0.0,2.0
232,EARS200222,环境热力学,"张云伟,顾兆林,李进,陈美娟",4.0,64.0
233,CHEM252409,储能化学基础-2,"高国新,周桂江,肖春辉",3.0,48.0
234,ENGL206912,学术英语读写,彭凤玲,2.0,32.0
235,ELEC327604,电工电子技术-1,"刘晔,刘思远",3.0,48.0
236,VENG430601,车辆工程导论,"张琦,赵升吨,徐俊",1.0,16.0
237,MLMD199314,习近平新时代中国特色社会主义思想概论,陆淑敏,3.0,48.0
238,ENPO200303,大学计算机 -工程算法编程,"何志龙,王闯",3.0,56.0
239,ENGL532112,二语习得,杨文纯,2.0,32.0
240,BIOL521113,合成生物学,谭丹,2.0,32.0
241,MACH400301,机械设计基础课程设计,陈丽,1.0,32.0
242,AUTO501327,系统仿真与元宇宙,卫军胡,2.0,32.0
243,PHYS311309,电动力学,付春娥,4.0,64.0
244,ENGL200312,阅读与写作（少年班）2,成旻,2.0,32.0
245,AASP412606,航空发动机总体设计,薛瑞,2.0,32.0
246,ENGL446712,英国文学史及选读,曹兴潭,3.0,48.0
247,SOFT510911,编译系统设计综合训练,"吴晓军,徐亦飞",0.5,16.0
248,ENGL202312,英语辩论,张静洁,2.0,32.0
249,AUTO544905,工业社会学,高建民,1.5,24.0
250,POLI102214,形策2025春（专题九：加快建设教育强国）张丹,张丹,0.0,2.0
251,PHLS504110,形而上学导论,张志伟,2.0,32.0
252,CHEM250309,医用有机化学实验,白艳红,1.5,48.0
253,PHLS404010,马克思主义哲学史II,"王健,王赛",3.0,48.0
254,MACH400501,机械制造技术基础,金涛,3.0,56.0
255,NURS300748,护理学导论,"李小妹,李津,张婧珺,杨磊,周凯娜",2.5,48.0
256,AASP300206,空气与气体动力学,"孟雪广,徐朝启,史亚云",4.0,72.0
257,SOCL504210,社会政策学,郭小弦,2.0,32.0
258,ARCH400631,建筑技术基础,"AnnaDallaValle,徐钰彬",3.0,48.0
259,PHLS505310,中国现当代哲学前沿,龚建平,2.0,32.0
260,MLMD191014,形势与政策,李家胜,2.0,32.0
261,MECH312006,基础力学实验-2,郭苓,0.5,16.0
262,MILI100554,国防教育,"李科,初阔林,张昊",2.0,32.0
263,CHEM300729,分析化学Ⅰ,漆贺同,2.0,32.0
264,POLI103214,形策2025春（专题三：当前我国社会思潮新趋势及其影响）伊景冰,伊景冰,0.0,2.0
265,BASM312040,机能实验学Ⅰ,"胡浩,郭媛,贺建宇,苏青",1.0,32.0
266,BIOL521513,发酵技术与应用,高美丽,2.0,32.0
267,PHLS504410,智能科学的哲学基础,丁晓军,2.0,32.0
268,CUIC501420,批判传播学,赵一菲,2.0,32.0
269,MLMD100214,中国近现代史纲要,刘哲民,2.0,32.0
270,PHMA403048,药用植物学实验,"牛晓峰,高昕,刘霞,王戌梅",1.0,32.0
271,ENGL200612,交流与表达（少年班）2,牛莉,2.0,32.0
272,MLMD199314,习近平新时代中国特色社会主义思想概论,刘源,3.0,48.0
273,MACH500701,装备与制造系统,徐海波,2.0,40.0
274,CLIM402048,口腔科学,"陈曦,陶洪,李大旭,孙俊毅,赵亮,李兴强,程百祥,吉玲玲,陈诚,程政,李珏丹,姚天华,屈凌寒,杨利洒",1.5,32.0
275,POLI103114,形策2025春（专题四：当前我国经济形势与就业形势）段朱清,段朱清,0.0,2.0
276,MLMD100214,中国近现代史纲要,刘哲民,2.0,32.0
277,CLIM403648,医学影像学,"杨健,张静平,范妤欣,丁宁宁,刘婷,徐贵平,张毅力,孙亲利,白璐,李晨霞",4.0,90.0
278,POLI400118,中外政治思想史,吕书鹏,2.0,32.0
279,BASM302748,病理解剖学,"任淑婷,张海峰,赵长安,孙颖",3.5,68.0
280,BIME515113,医疗器械研发管理与产品认证,"李剑君,张博",2.0,40.0
281,NUCL520203,核分析技术,臧航,2.0,32.0
282,MECH312006,基础力学实验-2,黄莺,0.5,16.0
283,CIVL900222,土木工程综合实验,"韩波,左璐",2.0,48.0
284,LAWS406924,商法,王玥,2.0,32.0
285,PHMA400542,药物分析学,"曾爱国,南冠君,罗智敏,景王慧",4.0,80.0
286,CHEM250309,医用有机化学实验,李健军,1.5,48.0
287,MATH295507,概率论与数理统计,"李飞鹏,李闯",3.0,48.0
288,JZSJ901048,口腔基础技能训练,"裴丹丹,王方,侯琳娜,张雨萌",2.0,80.0
289,INSM300132,工程光学-2,贾书海,2.0,32.0
290,MLMD199314,习近平新时代中国特色社会主义思想概论,刘哲民,3.0,48.0
291,FINA400351,金融市场学,周翔翼,2.0,32.0
292,NURS300548,护理教育学,"李津,高睿",1.5,30.0
293,COMP450505,计算机网络原理,王志文,3.0,48.0
294,CIVL900322,结构设计实践,"韩波,侯月琴",1.0,32.0
295,ARCH361322,建筑物理1,"王赞社,罗昔联",2.5,40.0
296,INTE552819,国际技术与服务贸易,杨万平,2.0,32.0
297,FINA420619,国际金融学,"高蓓,何建奎",2.5,40.0
298,ENGL532812,国际交流演讲与辩论,楚建伟,2.0,32.0
299,CHEM251109,有机化学Ⅲ,郭丽娜,3.0,48.0
300,CHEM301129,无机化学实验Ⅰ-2,张雯,2.0,64.0
301,PHMA500948,药品生产质量管理,"姜明欢,方宇,赵明月",1.0,18.0
302,MATH525207,机器学习,孟德宇,2.0,32.0
303,FINA543619,证券市场前沿与实务,程茂勇,2.0,32.0
304,CLIM409848,泌尿系统与疾病,"陈海文,任淑婷,种铁,陈莉娜,薛力,付荣国,付德来,张鹏,冯婕,陈钊,邢俊平,刘华",2.0,40.0
305,ENGL444212,笔译-2,张敏,1.5,24.0
306,PHYS316609,固体物理,王宇,3.0,48.0
307,CLIM401848,医学影像学,"金晨望,张明,丁宁宁,张静平,荐志洁,王亚蓉,李晨霞,孙亲利,杨健,强永乾,刘婷,牛刚,王斐,王蓉,梁挺",3.0,72.0
308,ELEC327604,电工电子技术-1,项彬,3.0,48.0
309,ECND000419,经济学专业导论,"李聪,宋丽颖,杨万平,乔志林,李双燕,马草原,刘航,马贵元",1.0,16.0
310,ELEC427704,高电压技术,"丁卫东,庞磊,吕亮",3.0,56.0
311,COMP562205,计算机视觉与模式识别,"苏远歧,王乐",2.5,48.0
312,MECH311906,基础力学实验-1,刘书静,0.5,16.0
313,JZSJ900422,创新创业实践II,岳焱超,3.0,120.0
314,MPRA200452,金工实习Ⅰ,"栗茂林,郁志浩,周耀成,吴毅,张铭,李党超,加有维,崔琦,邵敏,沈瑶,曲滨,邓天鑫,张珂,赵宁,祁小朋,徐峰,孙毓忠,宋爱梅",2.0,64.0
315,CIVL544822,城市应急管理与防灾减灾,"许领,吴冰,魏欣,左璐,赵腾远,陆世锋",1.5,24.0
316,MAGT480508,智能决策与机器学习II,林绍波,2.0,32.0
317,INFT430605,信号与系统实验,"张建国,王霞,黄健,张渭乐,洪玺",0.5,16.0
318,ENGL203112,英语学术论文写作,邵娟,2.0,32.0
319,BIME412813,医学基础专题实验,"陈岚,吴静",1.0,32.0
320,STAT310708,应用统计实践,"郑嘉俐,周晓阳",1.0,32.0
321,JZSJ900422,创新创业实践II,崔鑫,3.0,120.0
322,PHMA403848,药用植物学,"牛晓峰,高昕,刘霞,王戌梅",1.5,24.0
323,LITE435310,比较文学导论,"魏琛琳,梁宏安",2.0,32.0
324,LAWS505524,国际投资法,"单文华,张生",2.0,32.0
325,MLMD199314,习近平新时代中国特色社会主义思想概论,杨亚萍,3.0,48.0
326,MAGT421108,薪酬与绩效管理,周密,2.0,32.0
327,MCRA200152,测控实习,"张育林,李铭",1.0,32.0
328,ELEC321104,电路,"赵彦珍,沈瑶,王超,高昕悦",4.5,80.0
329,INTE400121,国际贸易实务,杨杨,4.0,64.0
330,ECND511319,公共经济学,贾小玫,2.0,32.0
331,MACH390901,工程制图,王小章,2.0,32.0
332,MILI100554,国防教育,"张赟,闫忠林,问鸿滨",2.0,32.0
333,GRDE900101,毕业设计（未来智能制造方向高级项目）,"梅雪松,杨树明,赵志斌,彭军,陈帅,孙若斌",8.0,256.0
334,EELC423804,能源互联网信息通信技术,陈晨,2.0,32.0
335,NURS401048,内科护理学 Ⅱ,"李宁,吕爱莉,施齐芳,王婧",3.5,72.0
336,ENPO200203,热工基础Ⅰ,"杨富鑫,任秦龙",2.5,44.0
337,BIOL200413,生物2,彭韵桦,2.0,40.0
338,CENG422416,过程流体机械,"李云,高秀峰,侯雄坡",2.5,50.0
339,POLI103114,形策2025春（专题四：当前我国经济形势与就业形势）段朱清,段朱清,0.0,2.0
340,MLMD100214,中国近现代史纲要,宋希斌,2.0,32.0
341,MECH514906,界面流体力学（英）,张旭瑞,1.0,20.0
342,AASP414306,航天飞行器总体设计,陈刚,2.0,32.0
343,AUTO440805,计算机网络原理与应用,杨静,2.5,48.0
344,MECH516006,船舶与平台结构基础,秦庆华,1.0,16.0
345,CLIM402448,诊断学,"陈明伟,李红霞,路万虹,蒲丹,吕晶,白玲,杨春,刘星君,孙怡宁,吴迪,范力宏,卢新兰,金李,樊萍,肖懿慧,宋艳,刘海波,阳甜,卢群,任莉,石志红",5.5,120.0
