,S#,C#,GRADE
89,05089598,MG-23,65.2
90,09061790,CE-30,71.2
91,09018279,NE-01,66.7
92,09094366,IS-01,85.1
93,06098713,MC-09,67.0
94,06024560,MG-01,63.7
95,06033086,JS-28,71.3
96,04027619,MM-93,62.8
97,08023766,MT-07,66.4
98,07049295,MG-01,79.6
99,04053616,PY-49,84.8
100,03094280,MG-23,68.2
101,02088469,AS-40,81.8
102,05041516,BS-37,66.3
103,08010030,SA-06,100.0
104,02034863,IS-01,64.3
105,02010432,ML-05,75.0
106,03041683,PY-05,50.5
107,08015831,MM-25,59.7
108,06091767,RS-02,67.9
109,01032709,CE-19,88.4
110,04027154,EE-61,61.8
111,07055707,BS-16,83.4
112,07086487,IS-14,84.9
113,03094075,JP-11,81.6
114,05048692,ER-01,66.0
115,07030039,BS-02,77.6
116,09072958,AT-36,73.2
117,05075857,MG-25,77.1
118,04041456,PY-25,67.8
119,01068837,JP-26,81.1
120,01029974,LW-26,83.5
121,07068390,CE-19,83.2
122,03098635,JS-09,80.4
123,07076705,MC-20,70.2
124,05039293,EL-02,69.4
125,05013203,JP-20,85.2
126,06011098,MG-81,59.8
127,08044494,BS-16,64.8
128,08086296,MT-07,84.9
129,05076171,CS-11,72.7
130,05079363,MM-25,73.9
131,02089905,BS-01,75.9
132,07037289,MC-20,82.9
133,02010432,ER-05,
134,09030357,IF-03,57.9
135,06057912,LW-37,82.4
136,04059850,EL-04,83.3
137,08081777,MM-66,69.2
138,03012980,MT-01,59.4
139,04042506,EP-08,73.2
140,08063228,CE-30,71.9
141,09057515,SA-01,75.3
142,03049311,AT-21,69.7
143,07035904,JS-09,79.1
144,09078606,PY-05,74.2
145,07069847,JP-20,
146,03061768,MG-01,80.6
147,03051788,JS-09,
148,06076543,EL-02,76.5
149,02066890,BS-23,85.8
150,06074200,ML-05,85.8
151,01041353,AT-36,67.9
152,08050314,RS-02,74.3
153,04024533,JP-20,81.5
154,09011968,AT-06,99.1
155,09047890,NE-01,70.0
156,04035790,MC-18,60.1
157,01043271,JS-09,79.6
158,02070650,JS-28,67.6
159,04061598,MM-02,83.1
160,06055388,CI-01,75.3
161,01070270,MC-09,79.4
162,08048749,SA-01,68.0
163,08064572,MM-10,89.4
164,07021959,CE-19,70.4
165,09077119,ML-05,71.8
166,06092000,JP-16,54.4
167,03098635,AC-03,81.9
168,06095862,NC-11,93.9
169,08012361,CS-11,67.4
170,01070997,EE-29,67.6
171,01017285,EE-82,73.1
172,04074620,AS-40,81.8
173,07055707,LW-37,84.8
174,08012361,CI-10,82.1
175,05026638,JP-20,
176,01045664,LW-32,46.6
177,02049888,MR-04,71.3
178,02039533,LT-01,77.5
179,09099086,EP-09,76.1
180,01027577,NC-11,
181,02053037,CI-01,73.5
182,03086288,JP-26,81.1
183,09066586,CI-01,66.8
184,04012853,MG-25,61.3
185,08036336,PY-01,53.4
186,06078362,IT-44,
187,07066794,PY-05,74.6
188,09012007,MM-93,58.2
189,08035177,MG-81,86.8
190,05050351,MT-01,83.6
191,05054306,BS-01,87.0
192,07071929,AC-20,82.5
193,01052992,ID-22,83.7
194,05058022,CI-10,65.2
195,06034255,PY-38,66.7
196,09046233,MM-25,63.2
197,09016409,MR-04,50.6
198,04039231,EL-04,74.1
199,01019000,EG-65,
200,05016666,PY-01,
201,03068863,JP-20,71.7
202,08057513,SO-01,80.6
203,05016498,ER-22,79.6
204,02087922,BO-17,84.5
205,06013048,AC-03,
206,09081739,CI-10,
207,03087978,PY-36,82.8
208,01069558,MM-66,75.3
209,05063232,MM-10,81.4
210,06011098,EL-30,79.1
211,05011079,PY-04,86.1
212,03073426,FR-05,86.1
213,07072522,JS-09,
214,02039236,PY-02,72.2
215,06034255,LW-37,72.2
216,09087252,EL-27,71.5
217,06054431,ID-22,70.1
218,02072687,CS-13,54.7
219,02071233,MT-01,82.9
220,07068119,JP-11,87.4
221,05077130,BS-01,67.9
222,01068571,CE-19,74.6
223,08074384,MR-02,74.4
224,07063955,EG-27,70.0
225,07057240,LW-26,78.8
226,01070270,LW-26,91.8
227,07013102,EP-08,73.4
228,09046805,ID-04,69.7
229,08087260,SA-01,73.2
230,02066890,EG-06,68.3
231,02058463,JS-09,81.3
232,05054610,JP-11,89.6
233,04012923,EP-03,66.9
234,02034670,BS-23,74.6
235,09022690,NC-11,73.3
236,05035444,MC-09,73.2
237,07031837,MT-21,85.5
238,04047306,EE-82,58.2
239,08063533,ER-01,75.1
240,09030823,EE-82,68.9
241,07085931,MM-66,88.9
242,08058270,ER-01,81.9
243,02039266,MM-02,81.5
244,02088469,BS-02,58.3
245,01033386,CN-01,84.5
246,04073790,CN-01,
247,01030034,MC-09,61.1
248,06096451,FA-54,80.9
249,08041727,ER-05,79.2
250,01017285,MC-09,77.0
251,08096866,EE-61,
252,06089284,BS-01,65.0
253,04093200,CN-05,79.8
254,03031972,BS-01,95.0
255,02066890,EP-08,61.9
256,08093769,CE-19,73.6
257,04062691,EL-02,75.8
258,01014586,EE-40,
259,01011896,JP-16,89.0
260,09077119,BS-37,69.3
261,07039838,BM-43,71.8
262,01076288,IT-44,66.3
263,06054431,MG-13,84.5
264,09050247,IS-01,62.4
265,08088915,EL-02,69.1
266,01070270,ER-22,76.3
267,07096700,AT-31,81.7
268,08010030,BM-02,77.2
269,02071347,EL-04,84.4
270,06087643,CE-03,71.7
271,09073619,PY-49,63.3
272,02026422,BM-02,69.7
273,05098124,EP-09,90.3
274,07086052,RS-02,84.5
275,09063201,SO-55,72.7
276,08058687,EG-65,85.4
277,02067825,MM-66,
278,07021649,PY-38,68.1
279,08039991,NC-11,
280,08048749,ID-04,84.4
281,04056678,SA-01,75.2
282,09046199,PY-23,61.7
283,05029102,FR-05,61.6
284,08044421,EG-06,85.9
285,02092526,SO-55,67.0
286,09095405,EP-03,78.8
287,09061790,BM-02,89.4
288,03010600,LT-01,84.7
289,06075822,EE-82,74.4
290,05085088,EE-33,66.3
291,05045976,ER-01,92.9
292,05050351,MG-13,72.9
293,07034554,FA-54,55.2
294,02010978,AC-20,83.1
295,07086528,BM-43,71.8
296,06091767,PY-49,93.9
297,06074726,EN-26,80.9
298,05030322,EM-31,76.9
299,08083557,NE-01,82.4
300,08049761,ER-22,90.1
301,02072687,PY-01,75.2
302,03041523,LT-01,63.7
303,04018490,BS-02,80.6
304,09046075,CS-11,91.5
305,09066291,PY-02,85.0
306,01041353,BO-01,74.7
307,05050351,RS-02,71.8
308,03081873,AT-36,61.7
309,07083618,MT-21,80.1
310,04042724,MT-28,60.2
311,02017610,SA-01,56.9
312,03079573,SA-06,63.3
313,06024586,MT-07,88.8
314,02039533,MG-23,81.1
315,02067181,JS-02,70.6
316,05023618,EE-29,72.0
317,06090136,CN-05,73.2
318,05030499,PY-05,93.2
319,02089645,EG-27,
320,03068863,EN-26,76.6
321,09078533,SO-01,77.2
322,02038305,JS-09,85.8
323,08066984,BO-05,78.2
324,08029061,EN-26,
325,04034407,ID-04,75.5
326,01039157,SO-01,87.5
327,01033611,MC-20,77.8
328,07024946,JP-11,85.3
329,02034863,ML-05,89.1
330,06018282,ML-05,80.1
331,02011192,EG-27,92.1
332,07073164,MT-01,79.1
333,06014611,PY-38,72.5
334,08096350,BM-43,79.3
335,03065064,MT-01,79.3
336,08024911,EP-09,58.8
337,08056892,CE-03,82.7
338,07086528,RS-02,72.4
339,06011161,JS-09,78.0
340,08083740,CE-03,72.2
341,07099042,EP-09,68.4
342,06035676,ID-04,80.2
343,02011192,AT-21,73.6
344,01032709,SO-01,45.5
345,03067387,IF-03,66.8
346,08057513,PY-23,71.2
347,03031839,PY-05,69.4
348,08058316,EE-82,72.0
349,07085325,EM-31,73.6
350,08063533,AT-31,64.5
351,05025057,EE-86,73.2
352,07078424,EE-13,81.8
353,04071030,EE-13,
354,05061077,EL-30,76.7
355,09070712,BS-02,
356,07055667,EE-29,
357,06037185,MC-37,84.5
358,01015891,MG-01,69.8
359,06065835,ID-04,65.2
360,02070650,CI-01,70.2
361,05031283,IT-44,73.7
362,06035339,JP-11,74.5
363,05047641,AS-40,74.1
364,08050157,ML-05,
365,02020140,MC-09,
366,06096451,LW-32,65.0
367,08096006,CN-05,52.6
368,03052930,JS-09,93.4
369,06012705,MG-25,69.0
370,04037121,ID-04,83.5
371,03017596,CE-03,67.0
372,02048995,LW-32,69.3
373,02086241,EE-82,
374,08096006,EL-30,71.2
375,05034915,CS-11,83.9
376,07072056,EG-03,65.3
377,02020140,SA-06,64.4
378,05015898,EP-09,77.5
379,09045686,JP-16,98.7
380,09073619,PY-04,67.7
381,01047459,JP-11,70.8
382,09041964,PY-38,76.7
383,03067387,PY-49,69.8
384,03095294,EE-13,67.7
385,05026638,SO-55,71.7
386,04015900,IF-03,96.4
387,06074200,JS-28,65.3
388,01030040,FR-05,67.6
389,09099672,RS-02,80.8
390,02038550,MG-81,91.0
391,05041516,FA-54,
392,07092967,BM-02,94.0
393,07056833,PY-02,86.6
394,06036617,JS-09,
395,01070441,LW-26,69.5
396,06048702,EP-08,73.2
397,05085088,ID-04,66.9
398,04073443,BS-23,84.5
399,04015917,EN-26,63.3
400,04062691,JS-09,88.4
401,09044803,PY-49,66.7
402,09050488,ER-05,85.6
403,02086241,ER-01,83.3
404,07036610,FR-05,61.4
405,06070097,IF-03,100.0
406,05064658,ER-22,82.4
407,01037434,CN-01,81.8
408,01011402,PY-49,78.7
409,08014864,BO-01,84.6
410,04056678,EL-27,68.4
411,07055667,PY-25,78.1
412,08039991,FR-05,69.9
413,09089900,EG-27,
414,07030136,LW-05,79.8
415,06037185,JP-26,
416,01048724,EP-08,72.3
417,01092141,JS-02,
418,08042228,NE-01,66.4
419,07075265,MM-93,81.8
420,02088518,CI-10,74.6
421,09011968,PY-36,69.3
422,08012648,CS-13,73.9
423,06075822,AC-24,73.9
424,01030040,EP-03,85.0
425,05013884,FA-54,77.7
426,09048091,EN-26,72.2
427,01078246,AC-20,82.0
428,04056678,AC-03,82.0
429,04097463,BS-01,
430,05020572,EE-33,69.2
431,06035339,AS-40,
432,09089900,EL-30,71.0
433,06068020,PY-36,60.4
434,09066586,BS-16,63.6
435,08081777,CE-03,
436,05069269,MT-28,80.4
437,03013598,EG-06,80.6
438,06042202,EG-65,73.7
439,02092526,MM-66,71.3
440,07083399,CE-19,67.1
441,02039829,CE-30,73.8
442,01012930,MC-09,64.4
443,03038962,EE-29,76.8
444,03024874,PY-36,77.2
445,09015544,ER-05,79.9
446,06029824,PY-36,69.0
447,02039533,CI-10,86.5
448,08050314,EG-03,72.6
449,09053917,MG-23,76.5
450,02089905,EE-86,75.5
451,07072834,BS-23,73.7
452,07063569,RS-02,82.7
453,03085128,SA-01,78.1
454,02065177,MC-37,70.9
455,07083618,ER-22,69.4
456,07066663,SO-01,
457,04042724,BO-17,77.3
458,08096866,ML-05,86.0
459,09046233,EG-06,
460,02040804,MM-25,86.5
461,06066774,EL-04,66.6
462,07095415,MG-23,58.2
463,06044300,NC-11,67.3
464,02089645,EE-86,69.7
465,05031386,MC-20,60.1
466,01053959,SO-55,83.7
467,05089598,ER-05,78.7
468,09086924,BM-02,86.4
469,07046428,AC-03,
470,03093048,EL-04,61.0
471,06011024,SO-01,85.7
472,01094109,EG-27,
473,07046428,PY-38,67.5
474,02095193,CN-01,
475,08056892,LW-32,89.1
476,03018455,BO-17,77.8
477,03074698,SA-06,59.9
478,08042228,CE-03,56.5
479,08059032,MC-18,70.9
480,04018070,EN-26,91.8
481,02048995,SA-06,
482,09025223,CE-03,74.4
483,07035904,PY-36,78.2
484,07021649,RS-02,81.6
485,07072834,CN-01,74.9
486,05077134,AC-20,78.9
487,02086995,BM-43,82.5
488,04042506,MG-01,82.0
489,04081299,EL-30,58.8
490,07086052,MR-02,74.9
491,03031839,EE-13,
492,03027321,LW-32,88.3
493,05012228,EE-40,67.0
494,05025057,ID-22,
495,04075512,AT-06,
496,05086858,MG-23,76.7
497,04060585,PY-01,80.0
498,03086288,ER-22,69.2
499,09015315,PY-02,83.6
500,08089628,LT-01,68.3
501,06041563,MG-13,68.7
502,03031972,AT-06,56.9
503,09092335,PY-02,62.5
504,05052039,PY-04,
505,01070270,EL-02,63.8
506,04058604,BO-01,78.1
507,07081403,MT-26,63.1
508,08015831,MG-13,78.0
509,08024279,IF-03,79.7
510,03027080,MR-02,70.5
511,02039045,NC-11,77.0
512,03076960,LW-37,69.8
513,06040361,PY-36,69.4
514,07015083,BS-31,72.1
515,06084082,MR-02,73.6
516,05097628,AT-31,
517,04042506,FA-54,69.3
518,07065468,CI-01,74.2
519,01047459,BS-01,76.9
520,02086995,PY-01,
521,03010600,AT-06,77.3
522,01012603,SO-01,59.9
523,09089900,LW-26,66.5
524,09079115,AS-40,76.2
525,04026873,CS-11,73.1
526,01035477,AT-31,53.5
527,03029047,BO-01,
528,08059032,ML-05,80.6
529,03010600,BS-16,76.4
530,07085931,ID-04,73.9
531,02087815,EM-31,66.8
532,08038007,EP-03,71.3
533,02087288,AT-21,65.0
534,03068863,CS-11,73.9
535,09066291,EL-04,93.9
536,05016666,AT-21,48.6
537,08052292,IT-44,65.2
538,05037689,EP-03,80.6
539,04084568,ID-22,68.2
540,03098635,NC-11,72.0
541,08070109,LW-05,64.3
542,03085128,ID-04,76.3
543,05083282,EG-06,
544,04017472,MG-13,
545,06065382,MG-01,
546,02091878,IF-03,
547,02058381,CE-30,72.4
548,02067409,IF-01,77.5
549,08096006,MR-04,64.3
550,09085773,SO-01,76.5
551,02016175,BS-37,
552,05045976,CI-10,
553,04012321,MT-26,73.7
554,04078773,AT-36,
555,04093598,BM-02,61.8
556,09029781,EL-04,
557,03074698,AT-31,82.7
558,09070915,IS-01,76.1
559,08041727,EE-40,95.0
560,03054101,EG-65,87.2
561,06011024,JP-16,85.0
562,08019798,PY-02,85.1
563,05032593,BO-05,64.6
564,07073164,MM-02,87.2
565,05030499,MT-26,79.9
566,05016498,MT-28,65.7
567,07053617,SA-06,81.0
568,07082361,FR-05,66.5
569,08052127,EL-02,65.9
570,05057135,JS-02,74.0
571,06033086,BO-01,
572,01068837,ER-01,75.8
573,07089798,IF-03,72.5
574,09063261,IS-01,77.4
575,05060547,EL-04,59.2
576,01069558,EL-04,74.6
577,07046753,NC-11,75.1
578,09038312,CN-05,77.3
579,01078813,IF-32,62.7
580,04018490,AC-20,
581,06078362,MM-10,70.5
582,09051620,AC-24,69.1
583,06021357,JS-09,71.3
584,06022297,BS-16,65.8
585,09018279,JP-16,80.7
586,05075857,CE-19,87.4
587,08096625,BS-52,51.9
588,04087024,BS-02,
589,05027472,PY-02,68.3
590,04026621,MG-13,85.2
591,06047810,PY-25,73.3
592,01041920,EE-61,
593,05016498,PY-25,74.9
594,08015831,JP-16,59.4
595,04029820,IF-32,61.5
596,03015314,EE-40,79.9
597,06024200,EE-61,75.3
598,04037121,MG-25,69.9
599,04094849,CI-10,75.0
600,09037045,PY-05,80.9
601,09019807,CS-11,78.9
602,04073388,MM-02,
603,07013102,PY-04,66.4
604,05061077,MT-01,59.5
605,02023976,IF-32,77.2
606,03071974,PY-36,78.2
607,08024911,LT-01,75.5
608,04094849,ID-22,92.9
609,06039165,BS-16,72.0
610,04093652,MT-26,73.5
611,07028368,ID-04,76.0
612,02037026,PY-25,93.7
613,05013884,IS-01,79.4
614,09038871,SO-01,62.4
615,07021484,EE-82,91.2
616,07046930,EL-04,69.9
617,07085931,LW-37,91.2
618,05079363,PY-36,
619,04041154,EE-13,85.3
620,09095405,EE-86,75.4
621,07063569,MT-21,87.7
622,01079996,CI-10,73.2
623,08086874,FR-05,94.4
624,08046693,EE-61,92.5
625,04080246,CE-19,60.5
626,09017378,LW-05,76.3
627,01096469,JP-26,71.3
628,03074698,JP-16,72.2
629,09075190,EE-61,75.5
630,01032974,EL-30,76.3
631,06071819,FR-05,67.9
632,08058270,IS-01,64.0
633,08066942,CE-03,65.3
634,04075338,LW-32,59.5
635,09061136,LW-32,95.3
636,05026638,EE-61,79.3
637,04026586,JS-09,65.7
638,08025229,EL-04,69.2
639,03033426,ER-05,64.9
640,08092153,LW-32,79.7
641,05054306,JS-09,82.1
642,07072522,BM-02,62.8
643,04052293,BS-23,75.6
644,05074742,JS-09,70.3
645,09066291,PY-01,84.1
646,07012298,MG-25,74.0
647,08064018,RS-02,
648,06055388,MT-07,87.7
649,07086052,PY-49,77.9
650,06024200,IS-14,
651,08095619,PY-38,76.1
652,04015900,ID-04,91.1
653,01025290,EE-33,
654,05030322,ID-04,63.3
655,05025057,EG-03,51.7
656,05029102,EE-86,83.1
657,03065566,AT-36,85.9
658,08066942,CI-10,71.1
659,05011079,FR-05,78.1
660,03031113,IF-32,69.7
661,09032856,CS-13,55.8
662,09073348,RS-02,74.2
663,04073388,CE-03,72.7
664,02038267,CN-01,47.8
665,09054403,CS-13,68.1
666,09061136,IF-01,61.1
667,09078606,PY-25,60.1
668,05075857,MC-09,57.6
669,09067669,ER-22,60.8
670,04015917,EG-06,61.5
671,09019807,MT-26,80.7
672,02039236,MM-66,89.3
673,04031279,EE-86,83.9
674,02026771,ID-22,
675,07025848,SA-06,70.0
676,09032856,EG-27,66.1
677,05079363,ER-01,79.2
678,06025929,MC-20,
679,09084646,BM-43,81.3
680,09085773,AT-31,77.8
681,06065835,MC-18,86.8
682,01015891,JP-26,82.9
683,03086078,BM-43,81.9
684,01039597,EG-27,80.1
685,06068020,EM-31,86.7
686,06077952,JS-09,72.1
687,04039951,ER-01,78.1
688,09037045,MT-21,67.9
689,01091559,CS-11,78.6
690,01053959,MG-81,71.7
691,08037976,CI-01,64.0
692,03083091,MC-09,73.6
693,02054615,LW-32,85.8
694,05054668,EP-08,66.9
695,02018055,ER-01,
696,08064018,EE-61,80.7
697,05033082,CS-13,89.1
698,06081134,BS-01,
699,05017131,EG-06,62.7
700,06090757,SO-01,66.0
701,02034670,ML-05,88.5
702,03061607,NE-01,85.2
703,05025057,MT-28,65.8
704,06059017,SO-55,86.2
705,05075269,ER-05,71.0
706,02021169,CE-30,82.8
707,05035444,CE-19,93.8
708,04051242,ID-22,73.1
709,08082531,IF-32,74.4
710,09011448,AT-21,70.7
711,07057240,CS-13,90.5
712,01018628,FR-05,64.3
713,09073619,EE-33,73.3
714,05013884,MC-20,87.5
715,09032856,EL-30,96.3
716,05085088,IS-14,93.5
717,05054306,BS-31,74.3
718,04015917,JP-11,72.1
719,01013510,EE-82,68.8
720,01068837,MT-28,63.1
721,08064572,EE-13,
722,04077810,BM-02,67.5
723,06087643,JS-02,81.4
724,08088921,IS-01,82.1
725,09063417,MT-28,
726,02054242,EE-61,62.6
727,09038312,JP-26,80.7
728,09066586,SO-55,78.6
729,06037185,EE-33,76.4
730,02094575,IF-32,76.7
731,07021581,AC-20,58.7
732,07014580,EL-02,51.4
733,09067669,PY-02,95.0
734,01039157,EL-30,53.9
735,04012479,JS-02,
736,02057349,BS-52,76.7
737,02056761,MM-10,94.5
738,06032799,JS-09,66.9
739,02020753,EE-82,
740,06076543,JS-09,72.8
741,07047847,AT-36,68.4
742,02070650,MT-01,74.7
743,05057135,MR-04,58.0
744,02049522,EP-09,99.6
745,04046201,ID-22,84.2
746,08033134,LW-32,54.1
747,08022145,MM-66,
748,04029778,BS-23,61.3
749,02031402,BS-23,77.1
750,01070997,CE-03,90.9
751,06089284,RS-02,80.4
752,04093652,PY-38,65.0
753,04075512,BS-16,82.0
754,05064658,JP-20,75.6
755,09046805,MC-18,
756,06087558,PY-49,64.3
757,07081966,AC-24,90.9
758,07036610,MT-28,66.8
759,09038312,EL-04,76.3
760,06013441,AT-36,
761,08058283,BM-02,72.3
762,01075029,MG-25,77.4
763,05041516,MC-20,67.4
764,03027321,PY-49,
765,08052292,EG-27,85.4
766,09037045,PY-25,82.8
767,05068455,MM-66,91.7
768,09044803,MG-25,62.2
769,02046191,MM-25,71.8
770,04029778,BS-31,64.2
771,07012298,EL-30,93.1
772,03079573,AC-03,76.5
773,08047813,AC-24,61.3
774,01051044,AT-21,69.9
775,01056301,AC-20,84.2
776,06083736,MM-25,84.1
777,08047813,FR-05,76.1
778,04026664,MC-09,76.9
779,02019902,EE-40,82.3
780,08056892,EN-26,74.8
781,08033279,EE-13,72.0
782,09039273,ER-22,100.0
783,04056678,EG-03,
784,05054610,JS-02,66.0
785,05025057,AT-31,70.5
786,06041563,CS-13,74.7
787,07030039,JP-20,
788,08050157,EE-82,86.9
789,08075485,MM-25,83.2
790,01030034,PY-04,72.8
791,07067578,EG-06,
792,08087402,MG-13,
793,09037159,CN-01,71.1
794,02051724,JP-16,
795,05048692,AC-20,53.0
796,06086271,IF-01,86.3
797,07012474,IF-01,69.6
798,08019651,EP-06,71.6
799,06011024,MC-09,
800,08024279,MM-93,70.7
801,04050790,LW-32,78.3
802,05025933,EL-27,73.5
803,04078544,BO-17,82.9
804,02054242,MT-07,64.4
805,01011219,AC-03,74.4
806,08039991,PY-25,69.5
807,04096802,EL-04,91.7
808,06069665,EL-04,76.4
809,08070109,CE-03,66.3
810,05029102,MT-21,74.6
811,09077724,MC-09,78.4
812,07021649,MM-10,85.8
813,02047674,BM-43,82.8
814,06051375,EE-29,68.4
815,07064135,CI-01,54.8
816,04064258,MM-10,86.4
817,09081739,IF-01,76.4
818,04052293,JP-11,73.2
819,09099672,MG-23,95.2
820,02087288,SA-06,
821,08021480,AC-20,92.5
822,09046182,EL-02,51.7
823,02019045,MM-10,75.9
824,08023622,EM-31,79.1
825,08035177,FR-05,74.5
826,04090401,EE-61,88.1
827,04029820,MG-23,79.7
828,06036617,BM-02,87.7
829,02089905,RS-02,72.6
830,05091350,EL-04,69.8
831,02017610,LW-05,57.6
832,08024279,EE-40,64.6
833,08057513,EP-03,93.1
834,06045346,ER-01,
835,05013884,CS-13,71.9
836,09046945,NE-01,65.0
837,04050586,LW-05,54.5
838,04087024,BS-23,70.1
839,02051724,CI-01,65.9
840,03058780,SO-55,65.0
841,07046428,IF-32,
842,08050157,SO-55,77.8
843,06047810,PY-01,63.7
844,05045131,FR-05,80.4
845,04079450,BM-43,82.4
846,05055745,EL-27,73.1
847,03033426,EL-02,74.5
848,06042853,MM-25,
849,07091634,MG-01,71.4
850,03076790,BS-52,67.9
851,03024874,LW-37,73.2
852,08037022,MT-01,77.0
853,09064896,CE-03,54.9
854,09032856,EP-08,80.9
855,02058463,JS-02,76.0
856,04018490,CS-11,80.8
857,02010432,EP-09,79.7
858,07068305,AS-40,79.4
859,01011626,MT-01,78.8
860,03043813,EG-03,68.9
861,04018490,JP-11,74.9
862,05048692,ID-04,72.4
863,02028259,BS-31,65.5
864,02014568,AT-21,81.3
865,07025848,MG-01,73.6
866,09051620,AC-03,69.0
867,05089946,IT-44,65.0
868,02024393,PY-38,62.1
869,06074726,ML-05,68.5
870,04071030,BS-31,75.8
871,06041260,EE-33,80.7
872,03094075,JS-28,74.5
873,06075822,IF-32,56.6
874,01044180,IS-14,71.8
875,01069558,EL-30,73.5
876,06065835,AT-21,65.6
877,05043293,JP-20,77.5
878,08087260,NC-11,71.8
879,01039157,CS-13,76.4
880,05033082,PY-38,84.4
881,04087024,JS-09,80.0
882,08014864,CS-11,73.8
883,04053616,EN-26,53.2
884,03068268,EG-27,
885,09091934,MM-25,
886,08051571,EL-02,87.3
887,01047459,EM-31,79.8
888,05090473,AC-20,62.3
889,03080234,MM-66,69.0
890,06099227,NC-11,66.2
891,09045686,IF-03,78.7
892,02074358,MM-02,64.7
893,02039045,EL-27,75.3
894,07091634,ER-22,63.1
895,03082243,IF-03,61.7
896,01096469,EN-26,79.7
897,09052483,MM-25,71.2
898,04029820,JP-20,68.5
899,08058270,FA-54,86.3
900,09012007,BO-17,83.9
901,07012474,MG-23,77.5
902,06045346,JS-02,81.4
903,06014052,EL-04,52.2
904,08059789,PY-25,66.7
905,08036336,BS-37,78.3
906,06013441,BS-37,
907,07099042,EE-33,75.4
908,04012923,SO-55,61.2
909,04046201,JS-09,91.5
910,03026173,MG-81,74.9
911,07046930,LW-32,87.2
912,06011161,CS-11,84.8
913,06056744,SO-01,82.0
914,04097576,MT-21,71.0
915,05017953,MM-10,82.6
916,01048724,EE-33,80.3
917,01016866,EL-04,66.9
918,06040539,MG-23,
919,09056888,JS-02,85.3
920,02089993,BS-37,
921,01070270,BS-23,76.5
922,07046930,MM-10,100.0
923,08057513,CI-01,61.7
924,02077552,EG-06,68.3
925,08049761,EP-09,72.5
926,08094030,NC-11,74.2
927,01048479,MR-04,86.8
928,01078813,LW-05,78.7
929,08083740,EE-13,88.9
930,09035660,SA-06,75.7
931,09072958,ER-05,65.6
932,05016666,JS-02,73.8
933,07039838,LW-26,88.9
934,05045131,EP-03,77.7
935,01044180,ER-22,59.3
936,04049528,EG-65,71.7
937,09056217,EG-27,71.9
938,08042737,EL-30,75.2
939,02067825,CI-01,85.8
940,07095207,AT-36,84.5
941,05035262,MC-20,60.8
942,07031837,PY-01,67.4
943,01018628,PY-49,86.1
944,04034407,JP-26,91.1
945,03058780,BO-05,63.2
946,04018070,AT-06,85.0
947,09068313,JP-26,86.6
948,01024959,IF-03,75.5
949,09022690,AS-40,88.1
